id,table_name,field_src,field_dst,remark
1,details,제목,title,title
2,details,파일이름,file_name,file_names
3,details,파일주소,file_url,file_urls
4,details,공고구분,notice_div,notice_div
5,details,공고번호,notice_num,notice_num
6,details,담당부서,org_dept,org_dept
7,details,담당자,org_man,org_man
8,details,연락처,org_tel,org_tel
9,details,기관명,org_name,org_name
10,details,본문,body_html,body_html
11,details,상세페이지주소,detail_url,detail_url
12,details,작성일,posted_date,posted_date
13,details,작성자,posted_by,posted_by
14,files,파일이름,file_name,file_name
15,files,파일주소,file_url,file_url
16,files,다운폴더,down_folder,down_folder
17,notices,기관명,org_name,org_name
18,notices,제목,title,title
19,notices,상세페이지주소,detail_url,detail_url
20,notices,작성일,posted_date,posted_date
21,notices,작성자,posted_by,posted_by
22,settings_notice_detail,기관명,org_name,org_name
23,settings_notice_detail,제목,title,xpath_title
24,settings_notice_detail,본문,body_html,xpath_body
25,settings_notice_detail,파일이름,file_name,xpath_file_name
26,settings_notice_detail,파일주소,file_url,xpath_file_url
27,settings_notice_detail,미리보기,preview,xpath_preview
28,settings_notice_detail,공고구분,notice_div,xpath_notice_div
29,settings_notice_detail,공고번호,notice_num,xpath_notice_num
30,settings_notice_detail,담당부서,org_dept,xpath_org_div
31,settings_notice_detail,담당자,org_man,xpath_org_man
32,settings_notice_detail,연락처,org_tel,xpath_org_tel
42,settings_notice_list,기관명,org_name,org_name
43,settings_notice_list,제목,title,path_title
44,settings_notice_list,상세페이지주소,detail_url,path_detail_url
45,settings_notice_list,작성일,posted_date,path_posted_date
46,settings_notice_list,작성자,posted_by,path_posted_by
47,settings_notice_list,제외항목,exception_path,path_exception
48,settings_notice_list,지역,org_region,지역
49,settings_notice_list,등록,registration,
50,settings_notice_list,담당업체,company_in_charge,
51,settings_notice_list,담당자,org_man,
